AVG_PAYLOAD,N_SERVERS,N_USER_PORTS,N_ACK,N_SYN,N_FIN,N_PSH,N_RST
21.0,2,2,5,0,0,3,0
25.2,2,2,5,0,0,3,0
291.0,2,2,5,0,0,3,0
204.8,2,2,5,0,0,2,0
519.2,2,2,5,0,0,0,0
533.2,1,1,5,0,0,1,0
46.2,1,1,5,0,0,3,0
14.8,1,1,5,0,0,2,0
26.4,1,1,5,0,0,4,0
24.8,1,1,5,0,0,4,0
531.2,1,1,5,0,0,1,0
527.0,1,1,5,0,0,2,0
465.4,1,1,5,0,0,2,0
46.2,1,1,5,0,0,3,0
26.6,2,2,5,0,0,3,0
27.2,1,1,5,0,0,3,0
31.0,1,1,5,0,0,5,0
24.0,2,3,5,0,0,4,0
271.6,3,4,5,0,0,1,0
199.2,1,1,5,0,0,2,0
778.8,1,1,5,0,0,0,0
305.6,1,1,5,0,0,2,0
14.0,1,1,5,0,0,2,0
26.6,2,2,5,0,0,3,0
32.6,1,1,5,0,0,4,0
291.8,2,2,5,0,0,3,0
267.4,1,1,5,0,0,1,0
778.8,1,1,5,0,0,0,0
230.0,1,1,5,0,0,3,0
14.0,1,1,5,0,0,2,0
14.8,1,1,5,0,0,2,0
38.2,1,1,5,0,0,4,0
39.6,1,1,5,0,0,4,0
25.0,1,1,5,0,0,3,0
32.6,1,1,5,0,0,4,0
29.2,2,2,5,0,2,2,0
6.2,2,2,5,0,0,1,0
38.2,1,1,5,0,0,4,0
39.6,1,1,5,0,0,4,0
0.0,2,3,3,4,0,0,0
0.0,1,2,5,5,0,0,0
312.4,1,2,5,1,0,2,0
168.0,1,2,5,0,0,3,0
235.0,1,2,5,0,0,4,0
713.6,1,2,5,0,0,1,0
778.8,1,1,5,0,0,0,0
356.2,1,1,5,0,0,3,0
14.0,1,1,5,0,0,2,0
21.0,2,2,5,0,0,3,0
0.0,1,2,4,2,2,0,0
312.4,1,1,5,2,0,2,0
156.2,1,1,5,0,0,1,0
305.4,1,1,5,0,0,4,0
1092.0,1,1,5,0,0,3,0
449.6,1,1,5,0,0,2,0
118.8,1,1,5,0,0,3,0
14.0,1,1,5,0,0,2,0
7.8,1,1,5,0,0,1,0
32.0,2,2,5,0,0,3,0
19.0,2,3,4,1,0,2,0
232.8,1,1,5,1,0,2,0
235.0,1,1,5,0,0,4,0
778.8,1,1,5,0,0,0,0
762.6,1,1,5,0,0,1,0
126.4,1,1,5,0,0,4,0
21.0,2,2,5,0,0,3,0
37.0,2,2,5,0,0,3,0
519.2,1,1,5,0,0,0,0
527.0,1,1,5,0,0,1,0
451.0,1,1,5,0,0,1,0
60.0,1,1,5,0,0,4,0
14.8,1,1,5,0,0,2,0
27.8,2,3,5,0,0,3,0
26.0,2,3,4,0,0,3,1
275.2,1,1,5,0,0,2,0
519.2,1,1,5,0,0,0,0
710.8,1,1,5,0,0,1,0
52.4,1,1,5,0,0,3,0
7.8,1,1,5,0,0,1,0
39.8,2,2,5,0,0,4,0
35.0,2,2,5,0,0,3,0
338.6,1,1,3,0,0,3,2
13.2,2,2,3,0,0,2,2
27.4,2,3,5,0,0,5,0
25.4,2,3,5,0,0,4,0
0.0,2,3,5,0,0,0,0
279.4,1,1,5,0,0,2,0
451.0,1,1,5,0,0,1,0
778.8,1,1,5,0,0,0,0
60.0,1,1,5,0,0,4,0
14.8,1,1,5,0,0,2,0
32.0,1,1,5,0,0,3,0
19.8,1,1,5,0,0,3,0
19.0,2,2,5,0,0,2,0
527.0,1,1,5,0,0,1,0
710.6,1,1,5,0,0,1,0
273.6,1,1,5,0,0,1,0
46.0,1,1,5,0,0,3,0
14.8,1,1,5,0,0,2,0
32.0,1,1,5,0,0,3,0
277.8,2,2,5,0,0,2,0
459.0,1,1,5,0,0,2,0
519.2,1,1,5,0,0,0,0
305.8,1,1,5,0,0,2,0
14.0,1,1,5,0,0,2,0
21.8,2,2,5,0,0,3,0
31.2,1,1,5,0,0,3,0
13.2,2,2,4,1,0,2,0
363.0,1,1,5,1,0,1,0
548.6,1,1,5,0,0,2,0
130.8,1,1,5,0,0,3,0
167.8,1,1,5,0,0,2,0
1143.6,1,1,5,0,0,3,0
454.2,1,1,5,0,0,1,0
381.8,1,1,5,0,0,3,0
380.6,2,2,4,1,0,1,0
363.0,1,1,5,1,0,1,0
568.0,1,1,5,0,0,2,0
63.6,1,1,5,0,0,2,0
433.4,2,2,5,0,0,3,0
267.4,1,1,5,0,0,1,0
778.8,1,1,5,0,0,1,0
197.8,1,1,5,0,0,2,0
46.0,1,1,5,0,0,3,0
14.8,1,1,5,0,0,2,0
0.0,3,3,4,1,2,0,0
0.0,2,2,4,3,0,0,0
466.4,2,2,5,0,0,2,0
1117.8,2,2,5,0,0,3,0
237.2,2,2,5,0,0,2,0
12.8,2,2,5,0,0,1,0
268.2,2,2,5,0,0,3,0
407.4,2,2,5,0,1,2,0
4.8,2,3,4,1,1,1,0
114.2,1,2,3,1,0,1,2
43.6,2,2,4,2,0,1,0
116.2,2,2,5,0,0,2,0
1141.2,2,2,5,0,0,3,0
215.8,2,2,5,0,1,1,0
17.6,2,2,5,0,1,2,0
325.0,2,2,4,0,0,1,1
120.6,1,1,5,0,0,2,0
292.6,1,1,5,0,0,4,0
103.4,2,2,4,2,0,1,0
827.6,1,1,5,0,0,2,0
0.0,2,2,4,1,0,0,0
116.2,2,2,5,1,0,2,0
908.0,1,1,5,0,0,2,0
50.8,2,2,5,0,0,1,0
267.8,2,2,5,0,0,3,0
303.8,2,2,5,0,0,3,0
842.6,1,1,5,0,0,3,0
1298.0,1,1,5,0,0,3,0
1298.0,1,1,5,0,0,2,0
1298.0,1,1,5,0,0,3,0
259.6,1,1,5,0,0,0,0
1038.4,1,1,5,0,0,2,0
1298.0,1,1,5,0,0,2,0
778.8,1,1,5,0,0,2,0
259.6,1,1,5,0,0,0,0
1298.0,1,1,5,0,0,3,0
1038.4,1,1,5,0,0,2,0
1298.0,1,1,5,0,0,2,0
519.2,1,1,5,0,0,1,0
1298.0,1,1,5,0,0,2,0
1298.0,1,1,5,0,0,3,0
673.8,1,1,5,0,0,2,0
0.0,1,1,5,0,0,0,0
0.0,1,1,5,0,0,0,0
0.0,1,1,5,0,0,0,0
583.0,1,1,5,0,0,3,0
1298.0,1,1,5,0,0,2,0
154.8,2,2,4,2,0,1,0
