AVG_PAYLOAD,N_SERVERS,N_USER_PORTS,N_ACK,N_SYN,N_FIN,N_PSH,N_RST
506.375,2,2,8,0,0,5,0
449.0,1,1,8,0,0,2,0
37.5,1,1,8,0,0,4,0
16.0,2,3,8,0,0,4,0
23.875,3,4,8,0,0,4,1
422.125,1,1,7,3,0,2,0
410.5,1,1,8,0,0,4,0
652.875,1,1,8,0,0,3,0
393.625,1,1,8,0,0,5,0
21.125,2,2,8,0,0,4,0
653.875,1,1,8,0,0,1,0
319.375,1,1,8,0,0,5,0
16.625,2,2,8,0,0,3,0
24.75,1,1,8,0,0,5,0
183.75,2,2,7,0,0,3,1
606.5,1,1,8,0,0,1,0
199.875,1,1,8,0,0,4,0
29.25,2,2,8,0,0,5,0
181.875,2,2,8,0,0,4,0
449.0,1,1,8,0,0,2,0
357.125,1,1,8,0,0,3,0
14.125,1,1,8,0,0,3,0
32.125,1,1,8,0,0,5,0
340.25,2,2,8,0,0,3,0
611.25,1,1,8,0,0,3,0
37.5,1,1,8,0,0,4,0
21.75,2,3,7,2,0,3,0
513.125,1,2,8,0,0,2,0
64.75,1,2,8,0,0,5,0
338.5,2,3,7,1,0,4,0
626.25,1,1,8,1,0,3,0
96.25,1,1,8,0,0,4,0
151.375,1,1,8,0,0,5,0
22.125,2,3,8,0,1,3,0
28.25,2,3,6,0,1,4,2
23.375,1,1,8,0,0,5,0
40.375,1,1,8,0,0,6,0
295.0,2,2,8,0,0,3,0
649.0,1,1,8,0,0,0,0
37.625,1,1,8,0,0,4,0
26.625,3,3,8,0,0,5,0
30.125,1,1,8,0,1,4,0
18.625,2,2,5,0,2,3,3
23.25,2,3,8,0,0,6,0
23.75,2,3,8,0,0,6,0
105.0,2,2,7,3,0,2,0
232.625,2,2,8,0,0,6,0
930.125,1,1,8,0,0,4,0
79.125,1,1,8,0,0,4,0
8.75,1,1,8,0,0,2,0
23.875,2,2,8,0,0,5,0
24.75,1,1,8,0,0,5,0
249.25,1,1,6,0,0,6,2
24.75,3,3,5,0,2,3,3
16.5,2,2,8,0,0,4,0
