AVG_PAYLOAD,N_SERVERS,N_USER_PORTS,N_ACK,N_SYN,N_FIN,N_PSH,N_RST
393.2857142857143,2,2,7,0,0,5,0
376.42857142857144,1,1,7,0,0,1,0
355.0,1,1,7,0,0,3,0
15.571428571428571,1,1,7,0,0,3,0
30.571428571428573,3,4,7,0,0,5,0
9.428571428571429,3,3,6,2,0,2,1
667.8571428571429,1,1,7,1,0,2,0
283.7142857142857,1,1,7,0,0,4,0
746.1428571428571,1,1,7,0,0,3,0
444.2857142857143,1,1,7,0,0,4,0
20.571428571428573,2,2,7,0,0,4,0
385.57142857142856,2,2,7,0,0,2,0
693.0,1,1,7,0,0,1,0
42.857142857142854,1,1,7,0,0,4,0
28.428571428571427,2,2,7,0,0,4,0
18.857142857142858,1,1,7,0,0,4,0
210.0,2,2,6,0,0,3,1
693.1428571428571,1,1,7,0,0,1,0
222.85714285714286,1,1,7,0,0,3,0
16.142857142857142,1,1,7,0,0,3,0
32.285714285714285,1,1,7,0,0,5,0
204.0,2,2,7,0,0,3,0
693.0,1,1,7,0,0,1,0
222.71428571428572,1,1,7,0,0,3,0
16.142857142857142,1,1,7,0,0,3,0
32.285714285714285,2,2,7,0,0,4,0
207.85714285714286,2,2,7,0,0,4,0
376.42857142857144,1,1,7,0,0,1,0
540.4285714285714,1,1,7,0,0,4,0
15.0,1,1,7,0,0,3,0
19.857142857142858,2,3,6,2,0,2,0
586.4285714285714,1,2,7,0,0,2,0
59.57142857142857,1,2,7,0,0,4,0
401.2857142857143,1,2,7,0,0,5,0
259.2857142857143,2,3,6,2,0,1,0
465.57142857142856,1,1,7,0,0,3,0
202.85714285714286,1,1,7,0,0,5,0
71.0,1,1,7,0,0,3,0
25.285714285714285,2,3,7,0,2,3,0
32.285714285714285,2,3,5,0,0,4,2
18.285714285714285,1,1,7,0,0,4,0
50.142857142857146,1,1,7,0,0,6,0
199.0,2,2,7,0,0,2,0
513.4285714285714,1,1,7,0,0,2,0
403.85714285714283,1,1,7,0,0,2,0
15.571428571428571,1,1,7,0,0,3,0
35.285714285714285,3,3,7,0,0,5,0
24.0,1,1,7,0,1,3,0
21.285714285714285,2,2,4,0,2,3,3
18.857142857142858,1,1,7,0,0,4,0
27.428571428571427,2,3,7,0,0,6,0
7.428571428571429,2,3,6,3,0,2,0
184.14285714285714,2,2,7,0,0,4,0
572.5714285714286,2,2,7,0,0,5,0
692.1428571428571,1,1,7,0,0,3,0
90.42857142857143,1,1,7,0,0,4,0
4.428571428571429,1,1,7,0,0,1,0
24.428571428571427,2,2,7,0,0,5,0
27.285714285714285,1,1,7,0,0,4,0
266.85714285714283,2,2,7,0,0,6,0
27.428571428571427,1,1,2,0,0,2,5
28.285714285714285,2,2,7,0,2,3,0
27.285714285714285,1,1,7,0,0,5,0
23.857142857142858,1,1,7,0,0,4,0
