fpr,tpr,threshold
0.0,0.0,inf
0.03,0.009900990099009901,1.0
0.03,0.04950495049504951,0.8636363636363636
0.03,0.0594059405940594,0.8409090909090909
0.04,0.0594059405940594,0.8382352941176471
0.04,0.09900990099009901,0.7727272727272727
0.04,0.10891089108910891,0.75
0.04,0.13861386138613863,0.7272727272727273
0.04,0.1485148514851485,0.7045454545454546
0.04,0.1782178217821782,0.6818181818181818
0.04,0.19801980198019803,0.5681818181818182
0.04,0.21782178217821782,0.5454545454545454
0.05,0.21782178217821782,0.5294117647058824
0.05,0.22772277227722773,0.5227272727272727
0.18,0.5445544554455446,0.5
0.18,0.5544554455445545,0.4772727272727273
0.18,0.594059405940594,0.45454545454545453
0.18,0.6237623762376238,0.42424242424242425
0.18,0.6435643564356436,0.4090909090909091
0.19,0.6435643564356436,0.39215686274509803
0.19,0.6534653465346535,0.3787878787878788
0.21,0.6534653465346535,0.35294117647058826
0.21,0.6831683168316832,0.30303030303030304
0.23,0.6831683168316832,0.29411764705882354
0.23,0.7029702970297029,0.2727272727272727
0.23,0.7128712871287128,0.25
0.24,0.7128712871287128,0.23529411764705882
0.24,0.7326732673267327,0.22727272727272727
0.25,0.7326732673267327,0.22058823529411764
0.25,0.7623762376237624,0.18181818181818182
0.27,0.7623762376237624,0.17647058823529413
0.27,0.7722772277227723,0.16666666666666666
0.29,0.7722772277227723,0.16176470588235295
0.29,0.7920792079207921,0.15151515151515152
0.29,0.801980198019802,0.13636363636363635
0.3,0.801980198019802,0.11764705882352941
0.3,0.8118811881188119,0.11363636363636363
0.32,0.8118811881188119,0.07352941176470588
0.32,0.8316831683168316,0.045454545454545456
0.33,0.8316831683168316,0.0392156862745098
0.36,0.8316831683168316,0.029411764705882353
0.37,0.8316831683168316,0.0196078431372549
0.39,0.8316831683168316,0.00980392156862745
1.0,1.0,0.0
