AVG_PAYLOAD,N_SERVERS,N_USER_PORTS,N_ACK,N_SYN,N_FIN,N_PSH,N_RST
242.5,2,2,6,0,0,4,0
432.6666666666667,1,1,6,0,0,1,0
598.6666666666666,1,1,6,0,0,2,0
50.0,1,1,6,0,0,4,0
12.333333333333334,1,1,6,0,0,2,0
29.833333333333332,2,3,6,0,0,4,0
11.0,3,3,5,2,0,2,1
562.8333333333334,1,1,6,1,0,2,0
369.0,1,1,6,0,0,2,0
616.1666666666666,1,1,6,0,0,4,0
852.0,1,1,6,0,0,2,0
105.5,1,1,6,0,0,4,0
17.5,2,2,6,0,0,3,0
449.8333333333333,1,1,6,0,0,2,0
649.0,1,1,6,0,0,0,0
209.5,1,1,6,0,0,5,0
12.333333333333334,1,1,6,0,0,2,0
31.833333333333332,2,2,6,0,0,4,0
23.166666666666668,2,2,5,0,0,3,1
232.83333333333334,1,1,6,0,0,2,0
808.6666666666666,1,1,6,0,0,1,0
254.83333333333334,1,1,6,0,0,2,0
17.5,1,1,6,0,0,3,0
33.166666666666664,2,2,6,0,0,4,0
26.166666666666668,2,2,6,0,0,4,0
598.6666666666666,1,1,6,0,0,2,0
432.6666666666667,1,1,6,0,0,0,0
259.8333333333333,1,1,6,0,0,3,0
12.333333333333334,1,1,6,0,0,2,0
38.333333333333336,2,2,6,0,0,4,0
22.0,1,1,6,0,0,4,0
442.6666666666667,2,2,6,0,0,1,0
655.5,1,1,6,0,0,2,0
203.0,1,1,6,0,0,4,0
12.333333333333334,1,1,6,0,0,2,0
23.166666666666668,2,3,5,2,0,2,0
684.1666666666666,1,2,6,0,0,2,0
57.0,1,2,6,0,0,3,0
43.5,1,2,6,0,0,3,0
437.1666666666667,2,3,5,1,0,3,0
518.8333333333334,1,1,6,1,0,2,0
326.8333333333333,1,1,6,0,0,2,0
209.66666666666666,1,1,6,0,0,4,0
109.83333333333333,1,1,6,0,0,4,0
20.666666666666668,2,3,6,0,0,2,0
18.666666666666668,2,3,4,0,2,2,2
33.0,1,1,6,0,0,4,0
26.0,1,1,6,0,0,4,0
48.666666666666664,1,1,6,0,0,5,0
232.16666666666666,2,2,6,0,0,2,0
382.6666666666667,1,1,6,0,0,2,0
649.0,1,1,6,0,0,0,0
50.166666666666664,1,1,6,0,0,4,0
12.333333333333334,1,1,6,0,0,2,0
47.5,2,2,6,0,0,5,0
15.833333333333334,1,1,6,0,1,2,0
13.833333333333334,2,2,3,0,2,2,3
27.833333333333332,1,1,6,0,0,4,0
24.166666666666668,3,4,6,0,0,4,0
21.666666666666668,1,2,6,0,0,5,0
9.833333333333334,2,2,5,3,0,1,0
217.33333333333334,2,2,6,0,0,4,0
655.6666666666666,2,2,6,0,0,4,0
807.5,1,1,6,0,0,3,0
99.0,1,1,6,0,0,3,0
11.666666666666666,1,1,6,0,0,2,0
12.333333333333334,2,2,6,0,0,2,0
26.0,1,1,6,0,0,4,0
27.833333333333332,1,1,6,0,0,4,0
305.5,2,2,6,0,0,5,0
32.0,1,1,2,0,0,2,4
33.0,3,3,5,0,2,3,1
16.833333333333332,2,2,6,0,0,3,0
31.833333333333332,1,1,6,0,0,4,0
16.833333333333332,1,1,6,0,0,3,0
31.166666666666668,1,1,6,0,0,4,0
16.166666666666668,1,1,6,0,0,3,0
26.0,1,1,6,0,0,4,0
27.833333333333332,1,1,6,0,0,4,0
5.166666666666667,3,3,6,0,2,1,1
31.833333333333332,2,2,6,0,1,4,0
16.166666666666668,1,1,6,0,0,3,0
16.833333333333332,1,1,6,0,0,2,0
9.0,2,4,4,3,0,2,0
130.16666666666666,1,2,4,3,0,1,0
346.5,1,2,6,2,0,1,0
1222.3333333333333,1,2,6,0,0,3,0
140.33333333333334,1,2,6,0,0,1,0
28.666666666666668,1,2,6,0,1,2,0
