fpr,tpr,threshold
0.0,0.0,inf
0.039603960396039604,0.0,100.0
0.039603960396039604,0.1639871382636656,75.0
0.039603960396039604,0.16720257234726688,59.0
0.0429042904290429,0.16720257234726688,55.0
0.0429042904290429,0.17363344051446947,41.0
0.0462046204620462,0.17363344051446947,39.0
0.0462046204620462,0.17684887459807075,27.0
0.07260726072607261,0.29260450160771706,26.0
0.07590759075907591,0.2958199356913183,24.0
0.07920792079207921,0.2958199356913183,23.0
0.07920792079207921,0.2990353697749196,22.0
0.08250825082508251,0.3086816720257235,20.0
0.08250825082508251,0.31511254019292606,18.0
0.0891089108910891,0.31511254019292606,17.0
0.0891089108910891,0.3183279742765273,15.0
0.0891089108910891,0.3247588424437299,13.0
0.09900990099009901,0.3247588424437299,10.0
0.1254125412541254,0.3279742765273312,6.0
0.12871287128712872,0.3633440514469453,5.0
0.132013201320132,0.3633440514469453,4.0
0.15181518151815182,0.3729903536977492,3.0
0.15181518151815182,0.3762057877813505,2.0
0.1551155115511551,0.37942122186495175,1.0
1.0,1.0,0.0
