fpr,tpr,threshold
0.0,0.0,inf
0.062034739454094295,0.0,63.0
0.06451612903225806,0.0,62.0
0.06699751861042183,0.2422062350119904,50.0
0.06947890818858561,0.2422062350119904,43.0
0.06947890818858561,0.486810551558753,33.0
0.08684863523573201,0.486810551558753,26.0
0.08933002481389578,0.486810551558753,25.0
0.08933002481389578,0.5755395683453237,24.0
0.09429280397022333,0.5779376498800959,23.0
0.09429280397022333,0.580335731414868,21.0
0.09925558312655088,0.580335731414868,19.0
0.09925558312655088,0.5827338129496403,18.0
0.10918114143920596,0.5827338129496403,9.0
0.12655086848635236,0.5851318944844125,6.0
0.12655086848635236,0.6115107913669064,5.0
0.12903225806451613,0.6139088729016786,4.0
0.14392059553349876,0.6235011990407674,3.0
0.14640198511166252,0.6258992805755396,1.0
1.0,1.0,0.0
