fpr,tpr,threshold
0.0,0.0,inf
0.14,0.2,1.0
0.14,0.21,0.9130434782608695
0.14,0.24,0.8260869565217391
0.14,0.25,0.8043478260869565
0.14,0.28,0.782608695652174
0.15,0.28,0.7777777777777778
0.15,0.3,0.7391304347826086
0.17,0.3,0.7222222222222222
0.17,0.36,0.6956521739130435
0.18,0.36,0.6944444444444444
0.18,0.37,0.6739130434782609
0.19,0.37,0.6666666666666666
0.19,0.39,0.6521739130434783
0.21,0.39,0.6388888888888888
0.21,0.42,0.6304347826086957
0.22,0.42,0.6111111111111112
0.22,0.44,0.5869565217391305
0.22,0.46,0.5652173913043478
0.23,0.46,0.5555555555555556
0.23,0.47,0.5434782608695652
0.25,0.47,0.5277777777777778
0.35,0.49,0.5
0.35,0.5,0.4925373134328358
0.37,0.5,0.4444444444444444
0.42,0.5,0.375
0.42,0.52,0.3695652173913043
0.43,0.52,0.3611111111111111
0.43,0.54,0.34782608695652173
0.44,0.54,0.3333333333333333
0.44,0.56,0.32608695652173914
0.44,0.57,0.3188405797101449
0.48,0.57,0.3055555555555556
0.48,0.59,0.30434782608695654
0.48,0.6,0.2826086956521739
0.49,0.6,0.2777777777777778
0.49,0.61,0.2608695652173913
0.5,0.61,0.24074074074074073
0.5,0.62,0.2391304347826087
0.5,0.64,0.2318840579710145
0.51,0.64,0.2222222222222222
0.51,0.67,0.21739130434782608
0.51,0.7,0.17647058823529413
0.51,0.73,0.17391304347826086
0.52,0.73,0.16666666666666666
0.52,0.75,0.15217391304347827
0.52,0.76,0.13043478260869565
0.52,0.79,0.10869565217391304
0.52,0.8,0.06521739130434782
0.53,0.8,0.027777777777777776
0.53,0.81,0.021739130434782608
1.0,1.0,0.0
