fpr,tpr,threshold
0.0,0.0,inf
0.14,0.5,1.0
0.15,0.5,0.8514851485148515
0.17,0.5,0.8316831683168316
0.18,0.5,0.7920792079207921
0.18,0.52,0.7702702702702703
0.19,0.52,0.7623762376237624
0.19,0.54,0.7297297297297297
0.21,0.54,0.6237623762376238
0.21,0.55,0.556390977443609
0.21,0.57,0.5405405405405406
0.21,0.59,0.35135135135135137
0.22,0.59,0.3465346534653465
0.22,0.61,0.32432432432432434
0.23,0.61,0.27722772277227725
0.23,0.62,0.2702702702702703
0.24,0.62,0.2376237623762376
0.24,0.64,0.17567567567567569
0.26,0.64,0.054455445544554455
0.26,0.66,0.05405405405405406
0.27,0.66,0.04316546762589928
0.27,0.67,0.04054054054054054
0.28,0.67,0.019801980198019802
1.0,1.0,0.0
