fpr,tpr,threshold
0.0,0.0,inf
0.06,0.21359223300970873,1.0
0.06,0.23300970873786409,0.8181818181818182
0.07,0.23300970873786409,0.775
0.07,0.2621359223300971,0.7727272727272727
0.07,0.2912621359223301,0.7045454545454546
0.07,0.32038834951456313,0.6818181818181818
0.07,0.33980582524271846,0.6590909090909091
0.07,0.34951456310679613,0.6136363636363636
0.08,0.34951456310679613,0.6
0.08,0.3883495145631068,0.5681818181818182
0.35,0.46601941747572817,0.5
0.37,0.46601941747572817,0.475
0.37,0.47572815533980584,0.4727272727272727
0.38,0.47572815533980584,0.45
0.38,0.4854368932038835,0.44545454545454544
0.39,0.4854368932038835,0.425
0.39,0.49514563106796117,0.4090909090909091
0.4,0.5048543689320388,0.4
0.4,0.5436893203883495,0.3181818181818182
0.41,0.5436893203883495,0.3
0.41,0.5631067961165048,0.2878787878787879
0.41,0.5825242718446602,0.2727272727272727
0.42,0.5825242718446602,0.27
0.45,0.5825242718446602,0.26
0.46,0.6019417475728155,0.25
0.46,0.6116504854368932,0.24242424242424243
0.46,0.6310679611650486,0.22727272727272727
0.48,0.6310679611650486,0.17857142857142858
0.5,0.6310679611650486,0.175
0.5,0.6504854368932039,0.1590909090909091
0.51,0.6504854368932039,0.15
0.51,0.6796116504854369,0.13636363636363635
0.52,0.6796116504854369,0.12345679012345678
0.52,0.6893203883495146,0.10909090909090909
0.52,0.7378640776699029,0.09090909090909091
0.55,0.7378640776699029,0.075
0.57,0.7378640776699029,0.05
0.57,0.7475728155339806,0.045454545454545456
1.0,1.0,0.0
