fpr,tpr,threshold
0.0,0.0,inf
0.03,0.34,1.0
0.03,0.39,0.8455284552845529
0.04,0.39,0.7844827586206896
0.04,0.42,0.7073170731707317
0.05,0.42,0.6724137931034483
0.06,0.48,0.6666666666666666
0.07,0.48,0.6379310344827587
0.07,0.51,0.6219512195121951
0.08,0.51,0.5948275862068966
0.08,0.56,0.5528455284552846
0.1,0.56,0.5517241379310345
0.1,0.58,0.5284552845528455
0.11,0.58,0.5172413793103449
0.11,0.59,0.5121951219512195
0.13,0.59,0.5057471264367817
0.19,0.63,0.5
0.2,0.63,0.4827586206896552
0.2,0.67,0.45121951219512196
0.2,0.69,0.4329268292682927
0.21,0.69,0.43103448275862066
0.21,0.7,0.43089430894308944
0.24,0.7,0.3879310344827586
0.24,0.73,0.3821138211382114
0.28,0.73,0.35135135135135137
0.5,0.77,0.3333333333333333
0.51,0.77,0.31896551724137934
0.53,0.77,0.3103448275862069
0.53,0.78,0.3048780487804878
0.58,0.78,0.1839080459770115
0.6,0.78,0.1724137931034483
0.61,0.78,0.13793103448275862
0.61,0.81,0.11382113821138211
0.62,0.81,0.05172413793103448
0.62,0.82,0.024390243902439025
1.0,1.0,0.0
