fpr,tpr,threshold
0.0,0.0,inf
0.0,0.2815533980582524,1.0
0.0,0.32038834951456313,0.6231884057971014
0.03,0.32038834951456313,0.5375
0.03,0.3300970873786408,0.5304347826086957
0.04,0.3300970873786408,0.525
0.04,0.47572815533980584,0.5
0.04,0.4854368932038835,0.46956521739130436
0.05,0.4854368932038835,0.45
0.05,0.5048543689320388,0.4260869565217391
0.06,0.5048543689320388,0.39705882352941174
0.06,0.5242718446601942,0.391304347826087
0.08,0.5242718446601942,0.375
0.08,0.5339805825242718,0.3739130434782609
0.09,0.5339805825242718,0.35
0.26,0.6893203883495146,0.3333333333333333
0.27,0.6893203883495146,0.328125
0.27,0.6990291262135923,0.32608695652173914
0.3,0.6990291262135923,0.3125
0.3,0.7087378640776699,0.30434782608695654
0.32,0.7087378640776699,0.2916666666666667
0.32,0.7572815533980582,0.25217391304347825
0.33,0.7572815533980582,0.25
0.35,0.7572815533980582,0.22916666666666666
0.35,0.7766990291262136,0.20869565217391303
0.35,0.7864077669902912,0.2028985507246377
0.37,0.7864077669902912,0.15
0.37,0.7961165048543689,0.14782608695652175
0.41,0.7961165048543689,0.1125
0.44,0.7961165048543689,0.10416666666666667
0.46,0.7961165048543689,0.058823529411764705
0.46,0.8058252427184466,0.043478260869565216
0.48,0.8058252427184466,0.0125
1.0,1.0,0.0
