fpr,tpr,threshold
0.0,0.0,inf
0.16,0.69,1.0
0.16,0.7,0.9902912621359223
0.17,0.7,0.9125
0.17,0.71,0.8954248366013072
0.17,0.73,0.8169934640522876
0.17,0.74,0.7908496732026143
0.17,0.83,0.6666666666666666
0.17,0.86,0.5424836601307189
0.48,0.86,0.5
0.48,0.87,0.4803921568627451
0.49,0.87,0.4748858447488584
0.49,0.88,0.4063745019920319
0.49,0.91,0.4
0.52,0.91,0.3356164383561644
0.56,0.93,0.3333333333333333
0.64,0.93,0.04794520547945205
0.64,0.94,0.0392156862745098
0.66,0.94,0.01977401129943503
1.0,1.0,0.0
