fpr,tpr,threshold
0.0,0.0,inf
0.04,0.2,1.0
0.04,0.21,0.9130434782608695
0.04,0.24,0.8260869565217391
0.04,0.25,0.8043478260869565
0.05,0.25,0.8
0.05,0.28,0.782608695652174
0.05,0.3,0.7391304347826086
0.05,0.36,0.6956521739130435
0.05,0.37,0.6739130434782609
0.07,0.37,0.6538461538461539
0.07,0.39,0.6521739130434783
0.09,0.39,0.6333333333333333
0.09,0.42,0.6304347826086957
0.09,0.44,0.5869565217391305
0.1,0.44,0.5666666666666667
0.1,0.46,0.5652173913043478
0.1,0.47,0.5434782608695652
0.11,0.47,0.5333333333333333
0.39,0.49,0.5
0.39,0.5,0.4925373134328358
0.41,0.5,0.4
0.41,0.52,0.3695652173913043
0.41,0.53,0.34782608695652173
0.43,0.54,0.3333333333333333
0.43,0.56,0.32608695652173914
0.43,0.58,0.30434782608695654
0.44,0.58,0.3
0.44,0.59,0.2898550724637681
0.45,0.59,0.2857142857142857
0.45,0.6,0.2826086956521739
0.48,0.6,0.26666666666666666
0.48,0.61,0.2608695652173913
0.51,0.61,0.24444444444444444
0.51,0.62,0.2391304347826087
0.52,0.62,0.23333333333333334
0.52,0.63,0.2318840579710145
0.52,0.66,0.21739130434782608
0.52,0.68,0.2028985507246377
0.55,0.68,0.2
0.55,0.69,0.1956521739130435
0.58,0.69,0.17777777777777778
0.58,0.7,0.17647058823529413
0.58,0.72,0.17391304347826086
0.6,0.72,0.16666666666666666
0.6,0.73,0.15942028985507245
0.62,0.73,0.15555555555555556
0.62,0.75,0.15217391304347827
0.63,0.75,0.13333333333333333
0.63,0.76,0.13043478260869565
0.65,0.76,0.1111111111111111
0.65,0.79,0.10869565217391304
0.67,0.79,0.1
0.69,0.79,0.06666666666666667
0.69,0.81,0.021739130434782608
1.0,1.0,0.0
