fpr,tpr,threshold
0.0,0.0,inf
0.08,0.18,1.0
0.08,0.2,0.7738095238095238
0.15,0.31,0.75
0.16,0.31,0.7321428571428571
0.16,0.33,0.7202380952380952
0.19,0.33,0.6785714285714286
0.19,0.34,0.6726190476190477
0.19,0.54,0.6666666666666666
0.2,0.54,0.6517857142857143
0.2,0.55,0.6071428571428571
0.21,0.55,0.5982142857142857
0.21,0.57,0.5952380952380952
0.21,0.59,0.5892857142857143
0.23,0.59,0.5535714285714286
0.23,0.6,0.5416666666666666
0.24,0.6,0.5303030303030303
0.24,0.62,0.5238095238095238
0.37,0.73,0.5
0.37,0.74,0.49404761904761907
0.38,0.74,0.49107142857142855
0.38,0.75,0.47619047619047616
0.39,0.75,0.4732142857142857
0.4,0.76,0.4642857142857143
0.43,0.76,0.4375
0.43,0.78,0.4126984126984127
0.46,0.78,0.38392857142857145
0.46,0.79,0.38235294117647056
0.47,0.8,0.35714285714285715
0.47,0.81,0.34523809523809523
0.52,0.88,0.3333333333333333
0.52,0.9,0.2857142857142857
0.53,0.9,0.25892857142857145
0.54,0.93,0.25
0.55,0.93,0.17857142857142858
1.0,1.0,0.0
