AVG_PAYLOAD,N_SERVERS,N_USER_PORTS,N_ACK,N_SYN,N_FIN,N_PSH,N_RST
32.333333333333336,1,1,3,0,0,3,0
452.6666666666667,2,2,3,0,0,1,0
865.3333333333334,1,1,3,0,0,1,0
0.0,1,1,3,0,0,0,0
878.3333333333334,1,1,3,0,0,1,0
319.0,1,1,3,0,0,1,0
76.66666666666667,1,1,3,0,0,2,0
23.333333333333332,1,1,3,0,0,2,0
0.0,1,1,3,0,0,0,0
24.666666666666668,1,1,3,0,0,2,0
18.0,1,2,3,0,0,2,0
41.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
0.0,2,2,2,2,0,0,1
260.3333333333333,1,1,3,1,0,1,0
865.3333333333334,1,1,3,0,0,1,0
713.3333333333334,1,1,3,0,0,1,0
24.666666666666668,1,1,3,0,0,1,0
367.0,1,1,3,0,0,3,0
865.3333333333334,1,1,3,0,0,1,0
865.3333333333334,1,1,3,0,0,1,0
838.6666666666666,1,1,3,0,0,1,0
187.66666666666666,1,1,3,0,0,2,0
23.333333333333332,1,1,3,0,0,2,0
13.0,1,1,3,0,0,1,0
22.0,1,1,3,0,0,2,0
454.0,1,1,3,0,0,1,0
445.6666666666667,1,1,3,0,0,1,0
432.6666666666667,1,1,3,0,0,0,0
865.3333333333334,1,1,3,0,0,0,0
342.3333333333333,1,1,3,0,0,2,0
76.66666666666667,1,1,3,0,0,3,0
0.0,1,1,3,0,0,0,0
24.666666666666668,1,1,3,0,0,2,0
41.666666666666664,2,2,3,0,0,2,0
22.0,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
24.333333333333332,2,2,2,0,0,1,1
452.6666666666667,1,1,3,0,0,1,0
13.0,1,1,3,0,0,1,0
752.0,1,1,3,0,0,1,0
865.3333333333334,1,1,3,0,0,0,0
432.6666666666667,1,1,3,0,0,0,0
77.0,1,1,3,0,0,2,0
23.333333333333332,1,1,3,0,0,2,0
11.666666666666666,1,1,3,0,0,1,0
32.666666666666664,2,2,3,0,0,2,0
33.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
30.333333333333332,2,2,3,0,0,2,0
432.6666666666667,1,1,3,0,0,0,0
764.6666666666666,1,1,3,0,0,2,0
0.0,1,1,3,0,0,0,0
865.3333333333334,1,1,3,0,0,0,0
432.6666666666667,1,1,3,0,0,0,0
87.0,1,1,3,0,0,3,0
13.0,1,1,3,0,0,1,0
11.666666666666666,1,1,3,0,0,1,0
32.666666666666664,2,2,3,0,0,2,0
44.0,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
452.6666666666667,2,2,3,0,0,1,0
432.6666666666667,1,1,3,0,0,0,0
13.0,1,1,3,0,0,1,0
1298.0,1,1,3,0,0,1,0
319.0,1,1,3,0,0,1,0
87.0,1,1,3,0,0,3,0
13.0,1,1,3,0,0,1,0
11.666666666666666,1,1,3,0,0,1,0
13.0,2,3,2,1,0,1,0
33.333333333333336,1,2,3,1,0,1,0
893.3333333333334,1,2,3,0,0,1,0
475.0,1,2,3,0,0,1,0
0.0,1,2,3,0,0,0,0
114.0,1,2,3,0,0,3,0
25.0,1,2,3,0,0,1,0
62.0,1,2,3,0,0,2,0
874.3333333333334,1,2,3,0,0,3,0
0.0,2,3,2,1,0,0,0
172.33333333333334,1,1,3,1,0,1,0
865.3333333333334,1,1,3,0,0,1,0
632.3333333333334,1,1,3,0,0,1,0
21.333333333333332,1,1,3,0,0,1,0
235.33333333333334,1,1,3,0,0,3,0
184.0,1,1,3,0,0,1,0
111.66666666666667,1,1,3,0,0,2,0
108.0,1,1,3,0,0,2,0
13.0,1,1,3,0,0,1,0
28.333333333333332,2,3,3,0,0,1,0
17.666666666666668,1,2,3,0,2,1,0
19.666666666666668,2,3,1,0,0,1,2
44.0,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
32.333333333333336,1,1,3,0,0,3,0
19.666666666666668,1,1,3,0,0,1,0
66.0,1,1,3,0,0,3,0
31.333333333333332,1,1,3,0,0,2,0
10.333333333333334,1,1,3,0,0,1,0
454.0,1,1,3,0,0,1,0
13.0,1,1,3,0,0,1,0
752.3333333333334,1,1,3,0,0,1,0
432.6666666666667,1,1,3,0,0,0,0
865.3333333333334,1,1,3,0,0,0,0
77.0,1,1,3,0,0,2,0
23.333333333333332,1,1,3,0,0,2,0
0.0,1,1,3,0,0,0,0
24.666666666666668,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
73.0,1,1,3,0,0,3,0
13.0,1,1,3,0,1,1,0
18.666666666666668,1,1,3,0,0,1,0
0.0,1,1,1,0,1,0,2
27.666666666666668,2,2,2,0,1,2,1
33.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
19.666666666666668,2,3,3,0,0,2,0
28.666666666666668,2,3,3,0,0,2,0
26.0,1,2,3,0,0,3,0
17.333333333333332,1,2,3,0,0,2,0
0.0,1,1,2,3,0,0,0
19.666666666666668,2,2,3,0,0,1,0
388.0,1,1,3,0,0,2,0
46.666666666666664,2,2,3,0,0,2,0
356.6666666666667,2,2,3,0,0,2,0
954.6666666666666,1,1,3,0,0,2,0
1298.0,1,1,3,0,0,1,0
317.0,1,1,3,0,0,2,0
0.0,1,1,3,0,0,0,0
198.0,1,1,3,0,0,3,0
13.0,1,1,3,0,0,1,0
10.333333333333334,1,1,3,0,0,1,0
0.0,1,1,3,0,0,0,0
24.666666666666668,2,2,3,0,0,2,0
22.0,1,1,3,0,0,2,0
30.0,1,1,3,0,0,2,0
33.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
46.666666666666664,2,2,3,0,0,2,0
564.3333333333334,1,1,3,0,0,3,0
64.0,1,1,2,0,0,2,1
0.0,1,1,0,0,0,0,3
24.333333333333332,2,2,2,0,1,1,1
41.666666666666664,2,2,3,0,1,2,0
11.666666666666666,2,2,3,0,0,1,0
22.0,1,1,3,0,0,2,0
30.0,1,1,3,0,0,2,0
33.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
11.666666666666666,1,1,3,0,0,1,0
20.666666666666668,1,1,3,0,0,2,0
41.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
10.333333333333334,1,1,3,0,0,1,0
32.333333333333336,1,1,3,0,0,3,0
19.666666666666668,1,1,3,0,0,1,0
33.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
10.333333333333334,2,2,3,0,0,1,1
0.0,2,2,3,0,2,0,0
19.666666666666668,2,2,3,0,1,1,0
44.0,1,1,3,0,0,3,0
10.333333333333334,1,1,3,0,0,1,0
22.0,1,1,3,0,0,2,0
23.333333333333332,1,1,3,0,0,1,0
10.333333333333334,1,1,3,0,0,1,0
18.0,1,2,3,0,0,2,0
0.0,1,2,1,3,0,0,0
0.0,1,1,2,2,0,0,0
260.3333333333333,1,2,2,1,0,1,0
260.3333333333333,1,1,3,1,0,1,0
432.6666666666667,1,2,3,1,0,0,0
1146.6666666666667,1,1,3,0,0,2,0
1298.0,1,1,3,0,0,1,0
280.6666666666667,1,2,3,0,0,1,0
0.0,1,2,3,0,0,0,0
0.0,1,2,3,0,0,0,0
57.333333333333336,1,2,3,0,1,2,0
954.6666666666666,1,1,3,0,0,2,0
890.0,1,2,3,0,0,2,0
739.0,1,2,3,0,0,1,0
324.0,1,1,3,0,0,1,0
10.333333333333334,1,2,3,0,0,1,0
458.0,1,2,3,0,1,2,0
76.66666666666667,1,1,3,0,0,3,0
0.0,1,2,2,0,0,0,1
10.333333333333334,1,2,2,0,0,1,1
0.0,1,1,3,0,0,0,0
13.0,1,1,3,0,0,1,0
22.0,1,1,3,0,0,2,0
41.666666666666664,1,1,3,0,0,2,0
32.333333333333336,1,1,3,0,0,3,0
10.333333333333334,1,1,3,0,0,1,0
31.333333333333332,1,1,3,0,0,1,0
65.66666666666667,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
10.333333333333334,1,1,3,0,0,1,0
48.666666666666664,1,1,3,0,0,2,0
0.0,1,1,3,0,2,0,0
22.0,1,1,3,0,0,2,0
41.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
41.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
41.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
0.0,1,1,2,2,0,0,0
388.0,1,1,3,0,0,2,0
348.6666666666667,1,1,3,0,0,2,0
22.0,2,2,3,0,0,2,0
41.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
41.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
48.666666666666664,2,2,3,0,0,2,0
43.0,1,1,3,0,0,2,0
18.666666666666668,1,1,3,0,3,1,0
46.666666666666664,2,3,3,0,2,3,0
30.666666666666668,2,3,3,0,0,3,0
18.666666666666668,3,4,3,0,1,1,0
41.666666666666664,2,2,3,0,0,2,0
22.0,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
19.666666666666668,1,1,3,0,0,1,0
22.0,2,2,2,1,0,1,0
260.3333333333333,1,1,3,1,0,1,0
127.66666666666667,1,1,3,0,0,1,0
381.3333333333333,1,1,3,0,0,3,0
443.0,1,1,3,0,0,1,0
1298.0,1,1,3,0,0,2,0
0.0,1,2,2,2,0,0,0
432.6666666666667,1,2,3,0,0,0,0
666.0,1,2,3,0,0,2,0
261.6666666666667,1,2,3,0,0,2,0
76.66666666666667,1,1,3,0,0,3,0
24.666666666666668,1,1,3,0,0,1,0
0.0,1,1,3,0,0,0,0
337.0,1,2,3,0,0,2,0
11.666666666666666,2,3,3,0,0,1,0
30.333333333333332,2,2,3,0,0,2,0
432.6666666666667,1,1,3,0,0,0,0
878.3333333333334,1,1,3,0,0,1,0
432.6666666666667,1,1,3,0,0,0,0
751.6666666666666,1,1,3,0,0,1,0
76.66666666666667,1,1,3,0,0,2,0
23.333333333333332,1,1,3,0,0,2,0
24.666666666666668,1,1,3,0,0,2,0
22.0,2,2,3,0,0,2,0
41.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
10.333333333333334,1,1,3,0,0,1,0
885.3333333333334,1,1,3,0,0,2,0
865.3333333333334,1,1,3,0,0,1,0
13.0,1,1,3,0,0,1,0
432.6666666666667,1,1,3,0,0,0,0
319.0,1,1,3,0,0,1,0
87.33333333333333,1,1,3,0,0,3,0
13.0,1,1,3,0,0,1,0
24.666666666666668,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
41.666666666666664,1,1,3,0,0,2,0
48.666666666666664,1,1,3,0,0,2,0
22.0,2,2,3,0,0,2,0
18.666666666666668,2,2,3,0,1,1,0
20.0,1,2,3,0,0,1,0
432.6666666666667,1,1,3,0,0,0,0
445.6666666666667,1,1,3,0,0,1,0
865.3333333333334,1,1,3,0,0,0,0
751.6666666666666,1,1,3,0,0,1,0
76.66666666666667,1,1,3,0,0,2,0
23.333333333333332,1,1,3,0,0,2,0
24.666666666666668,1,1,3,0,0,2,0
22.0,2,2,3,0,0,2,0
20.666666666666668,1,1,3,0,0,2,0
31.0,1,1,3,0,0,3,0
32.333333333333336,1,1,3,0,0,3,0
19.666666666666668,1,1,3,0,0,1,0
43.333333333333336,2,2,3,0,0,2,0
865.3333333333334,1,1,3,0,0,0,0
432.6666666666667,1,1,3,0,0,0,0
432.6666666666667,1,1,3,0,0,0,0
765.0,1,1,3,0,0,2,0
0.0,1,1,3,0,0,0,0
87.33333333333333,1,1,3,0,0,3,0
13.0,1,1,3,0,0,1,0
23.333333333333332,1,1,3,0,0,2,0
24.666666666666668,2,2,3,0,0,2,0
22.0,1,1,3,0,0,2,0
30.333333333333332,2,2,3,0,0,2,0
452.3333333333333,2,2,3,0,0,1,0
32.666666666666664,2,2,3,0,0,2,0
22.0,2,2,3,0,0,1,0
319.3333333333333,2,2,3,0,0,1,0
865.3333333333334,1,1,3,0,0,0,0
865.3333333333334,1,1,3,0,0,0,0
23.333333333333332,1,1,3,0,0,1,0
77.0,1,1,3,0,0,3,0
0.0,1,1,3,0,0,0,0
24.666666666666668,1,1,3,0,0,2,0
22.0,2,2,3,0,0,2,0
22.0,1,1,3,0,0,2,0
31.0,1,1,3,0,0,3,0
30.333333333333332,2,2,3,0,0,2,0
865.3333333333334,1,1,3,0,0,0,0
13.0,1,1,3,0,0,1,0
865.3333333333334,1,1,3,0,0,1,0
752.0,1,1,3,0,0,1,0
77.33333333333333,1,1,3,0,0,2,0
23.333333333333332,1,1,3,0,0,2,0
11.666666666666666,1,1,3,0,0,1,0
32.666666666666664,2,2,3,0,0,2,0
33.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
31.0,1,1,3,0,0,3,0
22.0,1,1,3,0,0,2,0
28.333333333333332,2,3,3,0,0,3,0
20.0,3,4,3,0,0,1,0
432.6666666666667,1,1,3,0,0,0,0
332.0,1,1,3,0,0,2,0
865.3333333333334,1,1,3,0,0,0,0
432.6666666666667,1,1,3,0,0,0,0
432.6666666666667,1,1,3,0,0,0,0
87.0,1,1,3,0,0,3,0
13.0,1,1,3,0,0,1,0
13.0,1,1,3,0,0,1,0
31.333333333333332,2,2,3,0,0,2,0
33.666666666666664,1,1,3,0,0,2,0
31.0,1,1,3,0,0,3,0
443.0,2,2,3,0,0,1,0
33.0,1,1,3,0,0,1,0
445.6666666666667,1,1,3,0,0,1,0
432.6666666666667,1,1,3,0,0,0,0
865.3333333333334,1,1,3,0,0,0,0
329.6666666666667,1,1,3,0,0,2,0
77.0,1,1,3,0,0,3,0
0.0,1,1,3,0,0,0,0
24.666666666666668,1,1,3,0,0,2,0
11.666666666666666,2,2,3,0,0,1,0
30.0,1,1,3,0,0,2,0
66.0,1,1,3,0,0,3,0
22.0,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
41.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
34.666666666666664,2,2,3,0,0,2,0
24.333333333333332,1,1,3,0,2,1,0
0.0,1,1,3,0,0,0,0
20.666666666666668,2,2,3,0,0,2,0
33.666666666666664,1,1,3,0,0,2,0
63.666666666666664,1,1,3,0,0,3,0
22.0,1,1,3,0,0,2,0
0.0,2,2,2,2,0,0,0
0.0,1,2,2,3,0,0,0
0.0,1,2,3,3,0,0,0
0.0,1,2,3,2,0,0,0
520.6666666666666,1,2,3,0,0,2,0
255.33333333333334,1,2,3,0,0,2,0
57.333333333333336,1,1,3,0,0,2,0
348.6666666666667,1,2,3,0,0,2,0
334.3333333333333,1,2,3,0,0,2,0
865.3333333333334,1,2,3,0,0,0,0
865.3333333333334,1,1,3,0,0,0,0
432.6666666666667,1,1,3,0,0,0,0
540.0,1,1,3,0,0,2,0
77.0,1,1,3,0,0,3,0
0.0,1,1,3,0,0,0,0
24.666666666666668,2,2,3,0,0,2,0
10.333333333333334,2,2,3,0,1,1,0
0.0,1,2,2,2,1,0,0
0.0,1,2,3,2,0,0,0
520.6666666666666,1,1,3,0,0,2,0
260.3333333333333,1,1,3,0,0,1,0
127.66666666666667,1,1,3,0,0,1,0
348.6666666666667,1,1,3,0,0,2,0
554.6666666666666,1,1,3,0,0,2,0
1298.0,1,1,3,0,0,2,0
749.3333333333334,1,1,3,0,0,2,0
0.0,1,1,3,0,0,0,0
187.66666666666666,1,1,3,0,0,2,0
23.333333333333332,1,1,3,0,0,2,0
10.333333333333334,1,1,3,0,0,1,0
0.0,1,1,3,0,0,0,0
13.0,1,1,3,0,0,1,0
41.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
21.333333333333332,1,2,2,1,0,1,0
260.3333333333333,1,1,3,1,0,1,0
127.66666666666667,1,1,3,0,0,1,0
381.3333333333333,1,1,3,0,0,3,0
875.6666666666666,1,1,3,0,0,1,0
432.6666666666667,1,1,3,0,0,0,0
1271.0,1,1,3,0,0,1,0
0.0,1,1,3,0,0,0,0
197.66666666666666,1,1,3,0,0,3,0
26.0,1,1,3,0,0,2,0
22.0,2,2,3,0,0,2,0
41.666666666666664,1,1,3,0,0,2,0
20.0,2,2,3,0,0,1,0
865.3333333333334,1,1,3,0,0,0,0
445.6666666666667,1,1,3,0,0,1,0
432.6666666666667,1,1,3,0,0,0,0
751.6666666666666,1,1,3,0,0,1,0
23.333333333333332,1,1,3,0,0,1,0
76.66666666666667,1,1,3,0,0,3,0
0.0,1,1,3,0,0,0,0
24.666666666666668,1,1,3,0,0,2,0
22.0,2,2,3,0,0,2,0
24.333333333333332,2,2,2,0,0,1,1
22.0,1,1,3,0,0,2,0
454.0,1,1,3,0,0,1,0
26.0,1,1,3,0,0,2,0
432.6666666666667,1,1,3,0,0,0,0
752.0,1,1,3,0,0,1,0
432.6666666666667,1,1,3,0,0,0,0
432.6666666666667,1,1,3,0,0,0,0
87.33333333333333,1,1,3,0,0,3,0
13.0,1,1,3,0,0,1,0
13.0,1,1,3,0,0,1,0
31.333333333333332,2,2,3,0,0,2,0
33.666666666666664,1,1,3,0,0,2,0
46.666666666666664,2,2,3,0,0,2,0
564.3333333333334,1,1,3,0,0,3,0
0.0,1,1,0,0,0,0,3
22.0,2,2,2,0,0,2,1
19.666666666666668,2,3,3,0,0,2,0
26.0,1,2,3,0,0,3,0
30.666666666666668,2,3,3,0,0,3,0
11.666666666666666,2,3,3,0,0,1,0
0.0,2,3,3,0,0,0,0
20.0,2,2,3,0,0,1,0
445.6666666666667,1,1,3,0,0,1,0
751.6666666666666,1,1,3,0,0,1,0
432.6666666666667,1,1,3,0,0,0,0
432.6666666666667,1,1,3,0,0,0,0
456.0,1,1,3,0,0,1,0
76.66666666666667,1,1,3,0,0,3,0
11.666666666666666,1,1,3,0,0,1,0
32.666666666666664,2,2,3,0,0,2,0
22.0,1,1,3,0,0,1,0
22.0,1,1,3,0,0,2,0
22.666666666666668,1,1,3,0,0,2,0
11.666666666666666,1,1,3,0,0,1,0
452.6666666666667,1,1,3,0,0,1,0
13.0,1,1,3,0,0,1,0
751.6666666666666,1,1,3,0,0,1,0
865.3333333333334,1,1,3,0,0,0,0
432.6666666666667,1,1,3,0,0,0,0
76.66666666666667,1,1,3,0,0,2,0
23.333333333333332,1,1,3,0,0,2,0
0.0,1,1,3,0,0,0,0
24.666666666666668,1,1,3,0,0,2,0
41.666666666666664,1,1,3,0,0,2,0
22.0,1,1,3,0,0,2,0
20.0,2,2,3,0,0,1,0
445.6666666666667,1,1,3,0,0,1,0
752.0,1,1,3,0,0,1,0
432.6666666666667,1,1,3,0,0,0,0
432.6666666666667,1,1,3,0,0,0,0
456.0,1,1,3,0,0,1,0
77.0,1,1,3,0,0,3,0
0.0,1,1,3,0,0,0,0
24.666666666666668,1,1,3,0,0,2,0
22.0,2,2,3,0,0,2,0
41.666666666666664,1,1,3,0,0,2,0
11.666666666666666,1,1,3,0,0,1,0
10.333333333333334,2,2,2,1,0,1,0
172.33333333333334,1,1,3,1,0,1,0
865.3333333333334,1,1,3,0,0,1,0
481.6666666666667,1,1,3,0,0,1,0
26.666666666666668,1,1,3,0,0,1,0
191.33333333333334,1,1,3,0,0,2,0
96.33333333333333,1,1,3,0,0,1,0
358.6666666666667,1,1,3,0,0,2,0
1298.0,1,1,3,0,0,1,0
1189.6666666666667,1,1,3,0,0,2,0
0.0,1,1,3,0,0,0,0
512.0,1,1,3,0,0,2,0
557.0,1,1,3,0,0,1,0
201.66666666666666,1,1,3,0,0,1,0
0.0,1,1,2,2,0,0,0
605.0,1,1,3,0,0,1,0
946.6666666666666,1,1,3,0,0,2,0
0.0,1,1,3,0,0,0,0
106.0,1,1,3,0,0,2,0
256.6666666666667,1,1,3,0,0,1,0
465.6666666666667,1,1,3,0,0,2,0
13.0,1,1,3,0,0,1,0
865.3333333333334,1,1,3,0,0,0,0
865.3333333333334,1,1,3,0,0,1,0
0.0,1,1,3,0,0,0,0
329.6666666666667,1,1,3,0,0,2,0
76.66666666666667,1,1,3,0,0,3,0
0.0,1,1,3,0,0,0,0
24.666666666666668,1,1,3,0,0,2,0
0.0,2,2,3,0,1,0,0
0.0,2,2,2,1,1,0,0
0.0,2,2,2,3,0,0,0
172.33333333333334,2,2,3,0,0,1,0
172.33333333333334,2,2,3,0,0,1,0
1180.3333333333333,1,1,3,0,0,2,0
1115.3333333333333,1,1,3,0,0,1,0
395.3333333333333,2,2,3,0,0,2,0
0.0,2,2,3,0,0,0,0
0.0,1,1,3,0,0,0,0
42.666666666666664,2,2,3,0,0,2,0
425.6666666666667,2,2,3,0,0,2,0
319.3333333333333,2,2,3,0,0,1,0
359.6666666666667,2,2,3,0,1,1,0
0.0,1,2,2,1,1,0,0
8.0,1,2,2,1,0,1,1
190.33333333333334,1,2,2,0,0,1,1
72.66666666666667,2,2,2,1,0,1,0
21.333333333333332,2,2,3,1,0,1,0
172.33333333333334,2,2,3,0,0,1,0
865.3333333333334,1,1,3,0,0,1,0
1036.6666666666667,2,2,3,0,0,2,0
359.6666666666667,1,1,3,0,1,1,0
