WS,NC,Mean_Cosine_Sim,Std_Dev,CI_Lower,CI_Upper
2,2,0.8061930530537911,0.060345326501564024,0.7312644336769474,0.8811216724306348
2,3,0.7691179075574386,0.04654558906287114,0.7113239253428845,0.8269118897719927
2,4,0.38834863171345135,0.16122714392039095,0.18815869157428466,0.588538571852618
2,5,0.39948692287053084,0.13129332147551026,0.23646473238979632,0.5625091133512654
3,2,0.7076115853780007,0.0311509480381541,0.6689325746891085,0.746290596066893
3,3,0.5813969819706443,0.09720165373439238,0.46070518796278054,0.7020887759785079
3,4,0.6266282571835781,0.11922494662248431,0.47859093327467356,0.7746655810924825
3,5,0.804212051420316,0.08277133664087755,0.7014378626301341,0.906986240210498
4,2,0.7914275829237025,0.02815464714409228,0.7564689711827527,0.8263861946646524
4,3,0.7121549377976186,0.030471354584965672,0.6743197538329655,0.7499901217622718
4,4,0.8104394965579521,0.03120021666113954,0.7716993107936578,0.8491796823222464
4,5,0.7842155702055578,0.03628642287334267,0.7391600253001305,0.8292711151109851
5,2,0.7224452211868307,0.023826240429223735,0.6928610362333166,0.7520294061403449
5,3,0.6745028630781681,0.026385385637071417,0.6417410796538938,0.7072646465024424
5,4,0.6798337670779696,0.015597616840973466,0.6604667677887561,0.6992007663671831
5,5,0.5055215849443976,0.08599712582014524,0.39874204986452366,0.6123011200242715
6,2,0.9618611641102597,0.03295157182913725,0.9209463836857945,1.0027759445347249
6,3,0.8389641630510962,0.023615227385655947,0.8096419853969316,0.8682863407052609
6,4,0.8388727183218702,0.05351503184043935,0.7724250299228683,0.905320406720872
6,5,0.7810143537779439,0.06500605720467828,0.7002986728817203,0.8617300346741675
7,2,0.9792189868786831,0.042449851087328815,0.9265105350544359,1.0319274387029302
7,3,0.8478823114118489,0.04414983962121171,0.7930630450277201,0.9027015777959777
7,4,0.7514350877725825,0.025464222582533357,0.7198170793496035,0.7830530961955615
7,5,0.8675022484787689,0.04740096177826835,0.8086461807584603,0.9263583161990775
8,2,0.9997743910737766,0.00023442227879302623,0.9994833173698224,1.0000654647777307
8,3,0.903375079743677,0.03822597502976491,0.8559112627529818,0.9508388967343723
8,4,0.9068006683167085,0.018481822099761184,0.8838524551942283,0.9297488814391887
8,5,0.9108292907543503,0.023737291522894607,0.8813555504555046,0.9403030310531959
