fpr,tpr,threshold
0.0,0.0,inf
0.039603960396039604,0.0,1.0
0.0594059405940594,0.0,0.7857142857142857
0.0594059405940594,0.36,0.6666666666666666
0.0594059405940594,0.37,0.65
0.0594059405940594,0.39,0.6333333333333333
0.0594059405940594,0.41,0.5833333333333334
0.0594059405940594,0.43,0.5666666666666667
0.0594059405940594,0.44,0.5633802816901409
0.0594059405940594,0.46,0.5333333333333333
0.0594059405940594,0.49,0.5166666666666667
0.13861386138613863,0.54,0.5
0.13861386138613863,0.58,0.46
0.13861386138613863,0.62,0.45
0.13861386138613863,0.66,0.43333333333333335
0.13861386138613863,0.67,0.43
0.1485148514851485,0.67,0.42045454545454547
0.1485148514851485,0.69,0.4166666666666667
0.1485148514851485,0.7,0.41
0.15841584158415842,0.7,0.4090909090909091
0.15841584158415842,0.71,0.4
0.16831683168316833,0.72,0.375
0.16831683168316833,0.74,0.36666666666666664
0.16831683168316833,0.76,0.35
0.19801980198019803,0.86,0.3333333333333333
0.19801980198019803,0.9,0.31
0.19801980198019803,0.91,0.3
0.19801980198019803,0.93,0.2857142857142857
0.2079207920792079,0.93,0.26136363636363635
0.2079207920792079,0.95,0.24
0.26732673267326734,0.95,0.20454545454545456
0.26732673267326734,0.97,0.2
0.26732673267326734,0.98,0.125
0.27722772277227725,0.98,0.09090909090909091
0.297029702970297,0.98,0.08181818181818182
0.32673267326732675,0.98,0.031413612565445025
0.3465346534653465,0.98,0.01818181818181818
0.37623762376237624,0.98,0.00909090909090909
1.0,1.0,0.0
