fpr,tpr,threshold
0.0,0.0,inf
0.039603960396039604,0.0,1.0
0.039603960396039604,0.06,0.75
0.039603960396039604,0.08,0.6726190476190477
0.039603960396039604,0.2,0.6666666666666666
0.039603960396039604,0.24,0.5416666666666666
0.039603960396039604,0.26,0.5297619047619048
0.039603960396039604,0.48,0.5
0.039603960396039604,0.5,0.47619047619047616
0.039603960396039604,0.55,0.38235294117647056
0.04950495049504951,0.55,0.3625
0.04950495049504951,0.56,0.35714285714285715
0.0594059405940594,0.71,0.3333333333333333
0.0594059405940594,0.73,0.27380952380952384
0.07920792079207921,0.73,0.26666666666666666
0.25742574257425743,0.81,0.25
0.27722772277227725,0.81,0.22916666666666666
0.27722772277227725,0.82,0.14285714285714285
0.32673267326732675,0.82,0.022222222222222223
1.0,1.0,0.0
