fpr,tpr,threshold
0.0,0.0,inf
0.06,0.43,1.0
0.07,0.43,0.9797979797979798
0.07,0.44,0.9066666666666666
0.09,0.44,0.8333333333333334
0.09,0.46,0.74
0.1,0.46,0.6818181818181818
0.1,0.48,0.62
0.11,0.48,0.5757575757575758
0.11,0.51,0.5466666666666666
0.11,0.63,0.5
0.11,0.65,0.4666666666666667
0.12,0.65,0.43434343434343436
0.14,0.65,0.41919191919191917
0.15,0.65,0.40404040404040403
0.15,0.67,0.3466666666666667
0.16,0.67,0.3333333333333333
0.16,0.68,0.2733333333333333
0.17,0.68,0.21212121212121213
0.17,0.7,0.006666666666666667
0.18,0.7,0.005050505050505051
1.0,1.0,0.0
