fpr,tpr,threshold
0.0,0.0,inf
0.01,0.2815533980582524,1.0
0.01,0.30097087378640774,0.8260869565217391
0.02,0.30097087378640774,0.7222222222222222
0.02,0.32038834951456313,0.5408163265306123
0.02,0.46601941747572817,0.5
0.02,0.5242718446601942,0.3739130434782609
0.19,0.6796116504854369,0.3333333333333333
0.19,0.6893203883495146,0.32608695652173914
0.21,0.6893203883495146,0.2962962962962963
0.21,0.7087378640776699,0.2782608695652174
0.22,0.7087378640776699,0.2777777777777778
0.22,0.7184466019417476,0.26956521739130435
0.22,0.7378640776699029,0.2608695652173913
0.22,0.7572815533980582,0.25217391304347825
0.23,0.7572815533980582,0.24074074074074073
0.25,0.7572815533980582,0.2222222222222222
0.26,0.7572815533980582,0.21739130434782608
0.26,0.7766990291262136,0.20869565217391303
0.26,0.7864077669902912,0.2028985507246377
0.29,0.7864077669902912,0.18518518518518517
0.31,0.7864077669902912,0.16666666666666666
0.31,0.7961165048543689,0.14782608695652175
0.33,0.7961165048543689,0.12222222222222222
0.35,0.7961165048543689,0.1111111111111111
0.39,0.7961165048543689,0.07777777777777778
0.41,0.7961165048543689,0.07407407407407407
0.44,0.7961165048543689,0.06666666666666667
0.5,0.7961165048543689,0.044444444444444446
0.5,0.8058252427184466,0.043478260869565216
0.52,0.8058252427184466,0.027777777777777776
0.55,0.8058252427184466,0.022222222222222223
0.57,0.8058252427184466,0.011111111111111112
1.0,1.0,0.0
