fpr,tpr,threshold
0.0,0.0,inf
0.20388349514563106,0.33,1.0
0.20388349514563106,0.34,0.7741935483870968
0.22330097087378642,0.34,0.6666666666666666
0.22330097087378642,0.36,0.5168539325842697
0.24271844660194175,0.36,0.5138888888888888
0.2621359223300971,0.57,0.5
0.2621359223300971,0.59,0.44086021505376344
0.27184466019417475,0.59,0.4166666666666667
0.27184466019417475,0.61,0.40860215053763443
0.27184466019417475,0.62,0.3387096774193548
0.2815533980582524,0.62,0.3333333333333333
0.2815533980582524,0.63,0.3225806451612903
0.30097087378640774,0.63,0.2361111111111111
0.30097087378640774,0.65,0.22580645161290322
0.3106796116504854,0.65,0.2222222222222222
0.3106796116504854,0.66,0.20967741935483872
0.3300970873786408,0.66,0.20833333333333334
0.3300970873786408,0.67,0.20430107526881722
0.34951456310679613,0.67,0.16666666666666666
0.34951456310679613,0.68,0.15053763440860216
0.36893203883495146,0.68,0.1388888888888889
0.3786407766990291,0.68,0.1111111111111111
0.3786407766990291,0.69,0.10752688172043011
0.4077669902912621,0.69,0.06896551724137931
0.4077669902912621,0.71,0.06451612903225806
0.42718446601941745,0.71,0.041666666666666664
0.42718446601941745,0.74,0.03225806451612903
0.42718446601941745,0.75,0.016129032258064516
1.0,1.0,0.0
