Method,Mean_AUC,Std_AUC,Num_Runs,Run_1,Run_2,Run_3,Run_4,Run_5
copod,0.5470051955690619,0.04823530748023543,5,0.4865209293206549,0.6064111361631213,0.5201450838153122,0.5201450838153122,0.6018037447309087
hbos,0.7855112243897657,0.028420674357038586,5,0.766003333006568,0.8353102636996373,0.7633565336731694,0.7633565336731694,0.7995294578962847
iforest,0.7670620527399274,0.0404119552889371,5,0.7145377904127046,0.8359964709342221,0.7518870698951083,0.7518870698951083,0.7810018625624939
pca,0.5029899029506911,0.05337698936394337,5,0.4273110479364768,0.5615135771002844,0.4798549161846878,0.4798549161846878,0.5664150573473189
zscore,0.506656210175473,0.05551324348384676,5,0.43103617292422314,0.5685717086560141,0.4801490049995099,0.4801490049995099,0.573375159298108
